variable,description
c24010_066,"estimate_total_female_natural resources, construction, and maintenance occupations"
c24010_067,"estimate_total_female_natural resources, construction, and maintenance occupations_farming, fishing, and forestry occupations"
c24010_068,"estimate_total_female_natural resources, construction, and maintenance occupations_construction and extraction occupations"
c24010_069,"estimate_total_female_natural resources, construction, and maintenance occupations_installation, maintenance, and repair occupations"
c24010_070,"estimate_total_female_production, transportation, and material moving occupations"
c24010_071,"estimate_total_female_production, transportation, and material moving occupations_production occupations"
c24010_072,"estimate_total_female_production, transportation, and material moving occupations_transportation occupations"
c24010_073,"estimate_total_female_production, transportation, and material moving occupations_material moving occupations"
c24030_001,estimate_total
c24030_002,estimate_total_male
c24030_003,"estimate_total_male_agriculture, forestry, fishing and hunting, and mining"
c24030_004,"estimate_total_male_agriculture, forestry, fishing and hunting, and mining_agriculture, forestry, fishing and hunting"
c24030_005,"estimate_total_male_agriculture, forestry, fishing and hunting, and mining_mining, quarrying, and oil and gas extraction"
c24030_006,estimate_total_male_construction
c24030_007,estimate_total_male_manufacturing
c24030_008,estimate_total_male_wholesale trade
c24030_009,estimate_total_male_retail trade
c24030_010,"estimate_total_male_transportation and warehousing, and utilities"
c24030_011,"estimate_total_male_transportation and warehousing, and utilities_transportation and warehousing"
c24030_012,"estimate_total_male_transportation and warehousing, and utilities_utilities"
c24030_013,estimate_total_male_information
c24030_014,"estimate_total_male_finance and insurance, and real estate, and rental and leasing"
c24030_015,"estimate_total_male_finance and insurance, and real estate, and rental and leasing_finance and insurance"
c24030_016,"estimate_total_male_finance and insurance, and real estate, and rental and leasing_real estate and rental and leasing"
c24030_017,"estimate_total_male_professional, scientific, and management, and administrative, and waste management services"
c24030_018,"estimate_total_male_professional, scientific, and management, and administrative, and waste management services_professional, scientific, and technical services"
c24030_019,"estimate_total_male_professional, scientific, and management, and administrative, and waste management services_management of companies and enterprises"
c24030_020,"estimate_total_male_professional, scientific, and management, and administrative, and waste management services_administrative and support and waste management services"
c24030_021,"estimate_total_male_educational services, and health care and social assistance"
c24030_022,"estimate_total_male_educational services, and health care and social assistance_educational services"
c24030_023,"estimate_total_male_educational services, and health care and social assistance_health care and social assistance"
c24030_024,"estimate_total_male_arts, entertainment, and recreation, and accommodation and food services"
c24030_025,"estimate_total_male_arts, entertainment, and recreation, and accommodation and food services_arts, entertainment, and recreation"
c24030_026,"estimate_total_male_arts, entertainment, and recreation, and accommodation and food services_accommodation and food services"
c24030_027,"estimate_total_male_other services, except public administration"
c24030_028,estimate_total_male_public administration
c24030_029,estimate_total_female
c24030_030,"estimate_total_female_agriculture, forestry, fishing and hunting, and mining"
c24030_031,"estimate_total_female_agriculture, forestry, fishing and hunting, and mining_agriculture, forestry, fishing and hunting"
c24030_032,"estimate_total_female_agriculture, forestry, fishing and hunting, and mining_mining, quarrying, and oil and gas extraction"
c24030_033,estimate_total_female_construction
c24030_034,estimate_total_female_manufacturing
c24030_035,estimate_total_female_wholesale trade
c24030_036,estimate_total_female_retail trade
c24030_037,"estimate_total_female_transportation and warehousing, and utilities"
c24030_038,"estimate_total_female_transportation and warehousing, and utilities_transportation and warehousing"
c24030_039,"estimate_total_female_transportation and warehousing, and utilities_utilities"
c24030_040,estimate_total_female_information
c24030_041,"estimate_total_female_finance and insurance, and real estate, and rental and leasing"
c24030_042,"estimate_total_female_finance and insurance, and real estate, and rental and leasing_finance and insurance"
c24030_043,"estimate_total_female_finance and insurance, and real estate, and rental and leasing_real estate and rental and leasing"
c24030_044,"estimate_total_female_professional, scientific, and management, and administrative, and waste management services"
c24030_045,"estimate_total_female_professional, scientific, and management, and administrative, and waste management services_professional, scientific, and technical services"
c24030_046,"estimate_total_female_professional, scientific, and management, and administrative, and waste management services_management of companies and enterprises"
c24030_047,"estimate_total_female_professional, scientific, and management, and administrative, and waste management services_administrative and support and waste management services"
c24030_048,"estimate_total_female_educational services, and health care and social assistance"
c24030_049,"estimate_total_female_educational services, and health care and social assistance_educational services"
c24030_050,"estimate_total_female_educational services, and health care and social assistance_health care and social assistance"
c24030_051,"estimate_total_female_arts, entertainment, and recreation, and accommodation and food services"
c24030_052,"estimate_total_female_arts, entertainment, and recreation, and accommodation and food services_arts, entertainment, and recreation"
c24030_053,"estimate_total_female_arts, entertainment, and recreation, and accommodation and food services_accommodation and food services"
c24030_054,"estimate_total_female_other services, except public administration"
c24030_055,estimate_total_female_public administration
